"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Properties", "Groovy", "Swift", "C++", "Python", "XML", "HTML", "comment", "blank", "total"
"c:\Users\fabri\Documents\archive\stories\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\fabri\Documents\archive\stories\l10n.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\fabri\Documents\archive\stories\lib\interface\router.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\fabri\Documents\archive\stories\lib\interface\shared\colors.dart", "Dart", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\fabri\Documents\archive\stories\lib\interface\shared\styles.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\fabri\Documents\archive\stories\lib\interface\shared\themes.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\fabri\Documents\archive\stories\lib\interface\shared\ui_helpers.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\categories\categories_view.dart", "Dart", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 104
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\categories\categories_view_model.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\home\home_view.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 114
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\home\home_view_model.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 48
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\story\story_view.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 102
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\story\story_view_model.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\tags\authors_view.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 42
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\tags\favorites_view.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\tags\stories_view.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 75
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\tags\tabs_view.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"c:\Users\fabri\Documents\archive\stories\lib\interface\views\tags\tabs_view_model.dart", "Dart", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 99
"c:\Users\fabri\Documents\archive\stories\lib\interface\widgets\creation_aware_list_item.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\fabri\Documents\archive\stories\lib\interface\widgets\stories_search_widget.dart", "Dart", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 134
"c:\Users\fabri\Documents\archive\stories\lib\interface\widgets\story_widget.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 124
"c:\Users\fabri\Documents\archive\stories\lib\interface\widgets\tags_widget.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\Users\fabri\Documents\archive\stories\lib\interface\widgets\text_widget.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"c:\Users\fabri\Documents\archive\stories\lib\interface\widgets\web_centered_widget.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\fabri\Documents\archive\stories\lib\l10n\app_en.arb", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\fabri\Documents\archive\stories\lib\l10n\app_fr.arb", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\fabri\Documents\archive\stories\lib\l10n\app_ru.arb", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\fabri\Documents\archive\stories\lib\l10n\l10n.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 16
"c:\Users\fabri\Documents\archive\stories\lib\locator.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\fabri\Documents\archive\stories\lib\main.dart", "Dart", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 102
"c:\Users\fabri\Documents\archive\stories\lib\models\dialog.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\fabri\Documents\archive\stories\lib\models\language.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\fabri\Documents\archive\stories\lib\models\story.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\fabri\Documents\archive\stories\lib\routes\route_names.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\fabri\Documents\archive\stories\lib\services\categories_service.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 82
"c:\Users\fabri\Documents\archive\stories\lib\services\connectivity_service.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
